symbol,path,window,n,best_close_exit_model,fee_adj_avg_R_taker,verdict
DOGE/USDT:USDT,aligned_trend,60d,14,close_exit_24h,0.082,POSITIVE_EXPECTANCY
ETH/USDT:USDT,15m_fast,60d,41,close_exit_4h,-0.036,NEGATIVE_NEAR_BE
ETH/USDT:USDT,1h_continuation,60d,10,close_exit_24h,0.122,POSITIVE_EXPECTANCY
ETH/USDT:USDT,4h_flip,60d,12,close_exit_8h,0.0932,POSITIVE_EXPECTANCY
ETH/USDT:USDT,adaptive_trend_route,60d,12,close_exit_100h,0.1694,POSITIVE_EXPECTANCY
ETH/USDT:USDT,aligned_trend,60d,13,close_exit_100h,0.1847,POSITIVE_EXPECTANCY
ETH/USDT:USDT,breakout_trader_route,60d,1,,,INSUFFICIENT_SAMPLE
LINK/USDT:USDT,15m_fast,60d,42,close_exit_4h,0.0061,MARGINAL
LINK/USDT:USDT,1h_continuation,60d,12,close_exit_4h,-0.0533,NEGATIVE
LINK/USDT:USDT,4h_flip,60d,17,close_exit_8h,0.1186,POSITIVE_EXPECTANCY
LINK/USDT:USDT,adaptive_trend_route,60d,15,close_exit_4h,0.0432,MARGINAL
LINK/USDT:USDT,aligned_trend,60d,10,close_exit_24h,0.0482,MARGINAL
SOL/USDT:USDT,15m_fast,60d,32,close_exit_4h,0.0118,MARGINAL
SOL/USDT:USDT,1h_continuation,60d,14,close_exit_8h,0.1328,POSITIVE_EXPECTANCY
SOL/USDT:USDT,4h_flip,60d,14,close_exit_4h,0.1402,POSITIVE_EXPECTANCY
SOL/USDT:USDT,adaptive_trend_route,60d,11,close_exit_8h,-0.032,NEGATIVE_NEAR_BE
SOL/USDT:USDT,aligned_trend,60d,16,close_exit_4h,0.084,POSITIVE_EXPECTANCY
SUI/USDT:USDT,15m_fast,60d,35,close_exit_4h,-0.0275,NEGATIVE_NEAR_BE
SUI/USDT:USDT,1h_continuation,60d,16,close_exit_48h,0.1463,POSITIVE_EXPECTANCY
SUI/USDT:USDT,4h_flip,60d,13,close_exit_48h,0.1802,POSITIVE_EXPECTANCY
SUI/USDT:USDT,adaptive_trend_route,60d,13,close_exit_4h,-0.1264,NEGATIVE
SUI/USDT:USDT,aligned_trend,60d,15,close_exit_48h,0.1727,POSITIVE_EXPECTANCY
XRP/USDT:USDT,15m_fast,60d,30,close_exit_100h,0.1605,POSITIVE_EXPECTANCY
XRP/USDT:USDT,1h_continuation,60d,11,close_exit_100h,0.5915,POSITIVE_EXPECTANCY
XRP/USDT:USDT,4h_flip,60d,13,close_exit_4h,0.0953,POSITIVE_EXPECTANCY
XRP/USDT:USDT,adaptive_trend_route,60d,11,close_exit_8h,0.1519,POSITIVE_EXPECTANCY
XRP/USDT:USDT,aligned_trend,60d,13,close_exit_100h,0.9616,POSITIVE_EXPECTANCY
