window,scope,key,n,one_r_rate,two_r_rate,unresolved_rate,avg_mfe_24h_R,avg_mae_24h_R,expectancy_taker_R,expectancy_maker_R,median_time_to_1r_min,median_time_to_sl_min,n_symbols,top_symbol_share,top_day_share,verdict
60d,symbol_path,DOGE/USDT:USDT|aligned_trend,14,0.2857142857142857,0.0,0.6428571428571429,0.6331279071968814,0.3752675475519752,-0.08784689703617198,-0.0829213993538918,1087.5,480.0,1,1.0,0.2857142857142857,DO_NOT_ENABLE
60d,symbol_path,ETH/USDT:USDT|15m_fast,41,0.024390243902439025,0.0,0.8048780487804879,0.40656897957246274,0.5058562547629559,-0.18838621539373046,-0.1830898629707333,420.0,825.0,1,1.0,0.07317073170731707,DO_NOT_ENABLE
60d,symbol_path,ETH/USDT:USDT|4h_flip,12,0.08333333333333333,0.0,0.8333333333333334,0.47374930746299637,0.3699952842830185,-0.09979468034195338,-0.09485627623936736,195.0,645.0,1,1.0,0.08333333333333333,DO_NOT_ENABLE
60d,symbol_path,ETH/USDT:USDT|breakout_trader_route,1,1.0,0.0,0.0,1.1981486113178164,3.376242754304876,-1.05754234538171,-1.0402796417671971,30.0,600.0,1,1.0,1.0,DO_NOT_ENABLE
60d,symbol_path,ETH/USDT:USDT|1h_continuation,10,0.1,0.1,0.8,0.6107173379499027,0.44377833102410336,0.0822406463637304,0.08756845245461127,390.0,1380.0,1,1.0,0.2,WEAK_SAMPLE
60d,symbol_path,ETH/USDT:USDT|adaptive_trend_route,14,0.07142857142857142,0.0,0.7857142857142857,0.49492676443957506,0.522798994552786,-0.1661572921308403,-0.15916724734873103,375.0,1035.0,1,1.0,0.14285714285714285,DO_NOT_ENABLE
60d,symbol_path,ETH/USDT:USDT|aligned_trend,13,0.23076923076923078,0.07692307692307693,0.6153846153846154,0.7891132264695042,0.4902394905553732,-0.019247775795708914,-0.013473443056996244,1290.0,900.0,1,1.0,0.38461538461538464,DO_NOT_ENABLE
60d,symbol_path,LINK/USDT:USDT|4h_flip,17,0.058823529411764705,0.0,0.8823529411764706,0.44503973593492424,0.34954586871184645,-0.07477189887792417,-0.06998738803807632,1290.0,885.0,1,1.0,0.058823529411764705,DO_NOT_ENABLE
60d,symbol_path,LINK/USDT:USDT|15m_fast,42,0.023809523809523808,0.0,0.7857142857142857,0.42762006211270737,0.4637464112341692,-0.20753640505922727,-0.20241834068431622,1290.0,1057.5,1,1.0,0.07142857142857142,DO_NOT_ENABLE
60d,symbol_path,LINK/USDT:USDT|adaptive_trend_route,15,0.06666666666666667,0.0,0.8,0.4448674777569335,0.5049283160669792,-0.15683425302758514,-0.1497839771193096,795.0,1192.5,1,1.0,0.13333333333333333,DO_NOT_ENABLE
60d,symbol_path,LINK/USDT:USDT|1h_continuation,12,0.0,0.0,0.9166666666666666,0.30942204855159205,0.542674627180977,-0.1005323155128024,-0.09537262085896171,,690.0,1,1.0,0.16666666666666666,DO_NOT_ENABLE
60d,symbol_path,LINK/USDT:USDT|aligned_trend,10,0.0,0.0,0.9,0.5151238077020871,0.368938663391701,-0.11855767288384382,-0.11299037101869067,,675.0,1,1.0,0.3,DO_NOT_ENABLE
