symbol,checkpoint,path,direction,entry_price,atr_4h,sl_price,tp_price,confidence,regime,run_length,one_r_before_sl,two_r_before_sl,sl_first,unresolved,mfe_4h,mae_4h,mfe_8h,mae_8h,mfe_24h,mae_24h,time_to_sl_min,time_to_1r_min,time_to_tp_min,truncated_4h,truncated_8h,truncated_24h,forward_bars
SOL/USDT:USDT,2026-04-14T00:00:00+00:00,4h_flip,LONG,86.5,1.4970758025785618,82.00877259,95.48245482,73.85,trending,8,,,,True,0.23000000000000398,0.8499999999999943,0.23000000000000398,1.0999999999999943,1.1400000000000006,3.239999999999995,,,,False,False,False,96
SOL/USDT:USDT,2026-04-15T08:00:00+00:00,4h_flip,SHORT,82.88,1.4245671138037381,87.15370134,74.33259732,73.21,trending,8,,,,True,0.19999999999998863,0.7700000000000102,0.19999999999998863,1.5900000000000034,0.19999999999998863,2.930000000000007,,,,False,False,False,96
SOL/USDT:USDT,2026-04-16T16:00:00+00:00,4h_flip,LONG,86.57,1.4726635881259789,82.15200924,95.40598153,90.08,trending,8,,,,True,3.5700000000000074,0.9899999999999949,4.010000000000005,0.9899999999999949,4.140000000000001,0.9899999999999949,,,,False,False,False,96
SOL/USDT:USDT,2026-04-19T04:00:00+00:00,4h_flip,SHORT,85.55,1.4434800120603382,89.88044004,76.88911993,75.1,trending,8,,,,True,1.269999999999996,0.37000000000000455,1.269999999999996,0.37000000000000455,2.780000000000001,1.5300000000000011,,,,False,False,False,96
SOL/USDT:USDT,2026-04-19T21:00:00+00:00,1h_continuation,SHORT,84.9,1.4690215697744518,89.30706471,76.08587058,65.01,trending,8,,,,True,2.1300000000000097,0.29999999999999716,2.1300000000000097,0.29999999999999716,2.1300000000000097,1.289999999999992,,,,False,False,False,96
SUI/USDT:USDT,2026-04-13T20:00:00+00:00,4h_flip,LONG,0.9353,0.01806915089181203,0.88109255,1.04371491,67.01,trending,8,,,,True,0.025499999999999967,0.009199999999999986,0.0262,0.009199999999999986,0.02739999999999998,0.011800000000000033,,,,False,False,False,96
SUI/USDT:USDT,2026-04-15T13:00:00+00:00,1h_continuation,LONG,0.9501,0.017960068943397155,0.89621979,1.05786041,66.89,trending,8,,,,True,0.0040000000000000036,0.009299999999999975,0.023700000000000054,0.009299999999999975,0.03970000000000007,0.009299999999999975,,,,False,False,False,96
SUI/USDT:USDT,2026-04-18T12:00:00+00:00,4h_flip,SHORT,0.9611,0.024759026424153282,1.03537708,0.81254584,80.14,trending,8,,,,True,0.0024999999999999467,0.010300000000000087,0.01100000000000001,0.010300000000000087,0.02499999999999991,0.010300000000000087,,,,False,False,False,96
SUI/USDT:USDT,2026-04-19T18:00:00+00:00,1h_continuation,SHORT,0.9381,0.021497638601212142,1.00259292,0.80911417,64.81,trending,6,,,,True,0.007600000000000051,0.008599999999999941,0.02200000000000002,0.008599999999999941,0.02200000000000002,0.015699999999999936,,,,False,False,False,96
